,title,authors,paper_url
37,Why Compress What You Can Generate? When GPT-4o Generation Ushers in Image Compression Fields,"['Yixin Gao', 'Xiaohan Pan', 'Xin Li', 'Zhibo Chen']",https://openaccess.thecvf.com/content/ICCV2025W/DRL4Real/papers/Gao_Why_Compress_What_You_Can_Generate_When_GPT-4o_Generation_Ushers_ICCVW_2025_paper.pdf
38,Controllable Generation with Disentangled Representative Learning of Multiple Perspectives in Autonomous Driving,['Haoran Jin'],https://openaccess.thecvf.com/content/ICCV2025W/DRL4Real/papers/Jin_Controllable_Generation_with_Disentangled_Representative_Learning_of_Multiple_Perspectives_in_ICCVW_2025_paper.pdf
39,A Guided Fine-tuning Framework for Diffusion Models with Disentangled Semantic Priors for Multi-Factor Image Editing,"['Baorui Peng', 'Zhongming Chen']",https://openaccess.thecvf.com/content/ICCV2025W/DRL4Real/papers/Peng_A_Guided_Fine-tuning_Framework_for_Diffusion_Models_with_Disentangled_Semantic_ICCVW_2025_paper.pdf
40,FusionGen: Feature Fusion-Based Few-Shot EEG Data Generation,"['Yuheng Chen', 'Dingkun Liu', 'Xinyao Yang', 'Xinping Xu', 'Baicheng Chen', 'Dongrui Wu']",https://openaccess.thecvf.com/content/ICCV2025W/DRL4Real/papers/Chen_FusionGen_Feature_Fusion-Based_Few-Shot_EEG_Data_Generation_ICCVW_2025_paper.pdf
41,Composite Reflections,"['Abhishek Dangeti', 'Pavan Gajula', 'Vikram Jamwal']",https://openaccess.thecvf.com/content/ICCV2025W/AI4VA/papers/Dangeti_Composite_Reflections_ICCVW_2025_paper.pdf
42,Enhancing Artwork Style Clustering via Neural Representation Re-Alignment,"['Abhishek Dangeti', 'Pavan Gajula', 'Vikram Jamwal', 'Vivek Srivastava']",https://openaccess.thecvf.com/content/ICCV2025W/AI4VA/papers/Dangeti_Enhancing_Artwork_Style_Clustering_via_Neural_Representation_Re-Alignment_ICCVW_2025_paper.pdf
43,VQArt-Bench: A semantically rich VQA Benchmark for Art and Cultural Heritage,"['Andrea Alfarano', 'Lorenzo Venturoli', 'Dario Negueruela Del Castillo']",https://openaccess.thecvf.com/content/ICCV2025W/AI4VA/papers/Alfarano_VQArt-Bench_A_semantically_rich_VQA_Benchmark_for_Art_and_Cultural_ICCVW_2025_paper.pdf
44,Leveraging Diffusion Models for Stylization using Multiple Style Images,"['Dan Ruta', 'Abdelaziz Djelouah', 'Raphael Ortiz', 'Christopher Schroers']",https://openaccess.thecvf.com/content/ICCV2025W/AI4VA/papers/Ruta_Leveraging_Diffusion_Models_for_Stylization_using_Multiple_Style_Images_ICCVW_2025_paper.pdf
45,Controllable Single-shot Animation Blending with Temporal Conditioning,"['Eleni Tselepi', 'Spyridon Thermos', 'Gerasimos Potamianos']",https://openaccess.thecvf.com/content/ICCV2025W/AI4VA/papers/Tselepi_Controllable_Single-shot_Animation_Blending_with_Temporal_Conditioning_ICCVW_2025_paper.pdf
46,WP-CLIP: Leveraging CLIP to Predict Wolfflin's Principles in Visual Art,"['Abhijay Ghildyal', 'Li-Yun Wang', 'Feng Liu']",https://openaccess.thecvf.com/content/ICCV2025W/AI4VA/papers/Ghildyal_WP-CLIP_Leveraging_CLIP_to_Predict_Wolfflins_Principles_in_Visual_Art_ICCVW_2025_paper.pdf
47,"Synthetic Hands Meet Legacy Data: A Synthetic Dataset for Structured, Controllable, and Multimodal Evaluation","['Menghe Zhang', 'Haley M. So', 'Mohammad Asadi', 'Dongfang Zhao', 'Yangwen Liang', 'Shuangquan Wang', 'Gordon Wetzstein', 'Kee-Bong Song', 'Donghoon Kim']",https://openaccess.thecvf.com/content/ICCV2025W/DataCV/papers/Zhang_Synthetic_Hands_Meet_Legacy_Data_A_Synthetic_Dataset_for_Structured_ICCVW_2025_paper.pdf
48,"Express4D: Expressive, Friendly, and Extensible 4D Facial Motion Generation Benchmark","['Yaron Aloni', 'Rotem Shalev-Arkushin', 'Yonatan Shafir', 'Guy Tevet', 'Ohad Fried', 'Amit Haim Bermano']",https://openaccess.thecvf.com/content/ICCV2025W/DataCV/papers/Aloni_Express4D_Expressive_Friendly_and_Extensible_4D_Facial_Motion_Generation_Benchmark_ICCVW_2025_paper.pdf
49,Mapillary Vistas Validation for Fine-Grained Traffic Signs: A Benchmark Revealing Vision-Language Model Limitations,"['Sparsh Garg', 'Abhishek Aich']",https://openaccess.thecvf.com/content/ICCV2025W/DataCV/papers/Garg_Mapillary_Vistas_Validation_for_Fine-Grained_Traffic_Signs_A_Benchmark_Revealing_ICCVW_2025_paper.pdf
50,LoRA-Loop: Closing the Synthetic Replay Cycle for Continual VLM Learning,"['Kaihong Wang', 'Donghyun Kim', 'Margrit Betke']",https://openaccess.thecvf.com/content/ICCV2025W/DataCV/papers/Wang_LoRA-Loop_Closing_the_Synthetic_Replay_Cycle_for_Continual_VLM_Learning_ICCVW_2025_paper.pdf
